Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,13.0,13.0,13.0,13.0,1.0,,,0.0,,,,,,,,,,,,,,,,6.727548283829467,3.506985965126692,12.2478977001032,1.0,,,,
2,0.0,1.0,29.0,29.0,16.0,29.0,1.0,,,0.0,,,,,,,,,,,,,,,,8.089495864954301,4.257252898951503,14.85422289051243,1.0,,,,
3,0.0,1.0,56.0,56.0,27.0,56.0,1.0,,,0.0,,,,,,,,,,,,,,,,12.858995260604706,6.817259378011516,23.765728565289606,1.0,,,,
4,0.0,1.0,67.0,67.0,11.0,67.0,1.0,,,0.0,,,,,,,,,,,,,,,,5.804428832844801,2.993399215062785,10.466174574128354,1.0,,,,
5,0.0,1.0,77.0,77.0,10.0,77.0,1.0,,,0.0,,,,,,,,,,,,,,,,5.338254258716446,2.7323939462696547,9.561792499119552,1.0,,,,
6,0.0,1.0,94.0,94.0,17.0,94.0,1.0,,,0.0,,,,,,,,,,,,,,,,8.537506735345652,4.5021653169992994,15.705680661607307,1.0,,,,
7,0.0,1.0,106.0,106.0,12.0,106.0,1.0,,,0.0,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,,,,
8,0.0,1.0,121.0,121.0,15.0,121.0,1.0,,,0.0,,,,,,,,,,,,,,,,7.638514063250426,4.009779174449701,13.994164535871143,1.0,,,,
9,0.0,1.0,138.0,138.0,17.0,138.0,1.0,,,0.0,,,,,,,,,,,,,,,,8.537506735345652,4.5021653169992994,15.705680661607307,1.0,,,,
10,0.0,1.0,172.0,172.0,34.0,172.0,1.0,,,0.0,,,,,,,,,,,,,,,,15.719910293991006,8.301984330287356,28.944677272770747,1.0,,,,
11,0.0,1.0,187.0,187.0,15.0,187.0,1.0,,,0.0,,,,,,,,,,,,,,,,7.638514063250426,4.009779174449701,13.994164535871143,1.0,,,,
12,0.0,1.0,201.0,201.0,14.0,201.0,1.0,,,0.0,,,,,,,,,,,,,,,,7.184539029491803,3.7597049262044866,13.125418723102165,1.0,,,,
13,0.0,1.0,218.0,218.0,17.0,218.0,1.0,,,0.0,,,,,,,,,,,,,,,,8.537506735345652,4.5021653169992994,15.705680661607307,1.0,,,,
14,0.0,1.0,235.0,235.0,17.0,235.0,1.0,,,0.0,,,,,,,,,,,,,,,,8.537506735345652,4.5021653169992994,15.705680661607307,1.0,,,,
15,0.0,1.0,262.0,262.0,27.0,262.0,1.0,,,0.0,,,,,,,,,,,,,,,,12.858995260604706,6.817259378011516,23.765728565289606,1.0,,,,
16,0.0,1.0,279.0,279.0,17.0,279.0,1.0,,,0.0,,,,,,,,,,,,,,,,8.537506735345652,4.5021653169992994,15.705680661607307,1.0,,,,
17,0.0,1.0,330.0,330.0,51.0,330.0,1.0,,,0.0,,,,,,,,,,,,,,,,22.15028360813718,11.491705329693206,40.104399353383855,1.0,,,,
18,0.0,1.0,350.0,350.0,20.0,350.0,1.0,,,0.0,,,,,,,,,,,,,,,,9.86393411062928,5.2218773942992875,18.209306240276906,1.0,,,,
19,0.0,1.0,402.0,402.0,52.0,402.0,1.0,,,0.0,,,,,,,,,,,,,,,,22.507073449516273,11.662415622999475,40.703355359850015,1.0,,,,
20,0.0,1.0,411.0,411.0,9.0,411.0,1.0,,,0.0,,,,,,,,,,,,,,,,4.868972232004988,2.4684556783231795,8.648275251635907,1.0,,,,
21,0.0,1.0,448.0,448.0,37.0,448.0,1.0,,,0.0,,,,,,,,,,,,,,,,16.906647300104645,8.906307801217471,31.055091413092185,1.0,,,,
22,0.0,1.0,462.0,462.0,14.0,462.0,1.0,,,0.0,,,,,,,,,,,,,,,,7.184539029491803,3.7597049262044866,13.125418723102165,1.0,,,,
23,0.0,1.0,498.0,498.0,36.0,498.0,1.0,,,0.0,,,,,,,,,,,,,,,,16.513634963632768,8.706936580416768,30.35867819504261,1.0,,,,
24,0.0,1.0,510.0,510.0,12.0,510.0,1.0,,,0.0,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,,,,
25,0.0,1.0,529.0,529.0,19.0,529.0,1.0,,,0.0,,,,,,,,,,,,,,,,9.424703998542563,4.984445784024267,17.38313761644132,1.0,,,,
26,0.0,1.0,554.0,554.0,25.0,554.0,1.0,,,0.0,,,,,,,,,,,,,,,,12.017258322062117,6.373078819321137,22.21786406008531,1.0,,,,
27,0.0,1.0,566.0,566.0,12.0,566.0,1.0,,,0.0,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,,,,
28,0.0,1.0,618.0,618.0,52.0,618.0,1.0,,,0.0,,,,,,,,,,,,,,,,22.507073449516273,11.662415622999475,40.703355359850015,1.0,,,,
29,0.0,1.0,644.0,644.0,26.0,644.0,1.0,,,0.0,,,,,,,,,,,,,,,,12.439505518116825,6.596308969085059,22.995685419484463,1.0,,,,
30,0.0,1.0,660.0,660.0,16.0,660.0,1.0,,,0.0,,,,,,,,,,,,,,,,8.089495864954301,4.257252898951503,14.85422289051243,1.0,,,,
31,0.0,1.0,693.0,693.0,33.0,693.0,1.0,,,0.0,,,,,,,,,,,,,,,,15.319159779482527,8.096362438133497,28.226946740172476,1.0,,,,
32,0.0,1.0,707.0,707.0,14.0,707.0,1.0,,,0.0,,,,,,,,,,,,,,,,7.184539029491803,3.7597049262044866,13.125418723102165,1.0,,,,
33,0.0,1.0,723.0,723.0,16.0,723.0,1.0,,,0.0,,,,,,,,,,,,,,,,8.089495864954301,4.257252898951503,14.85422289051243,1.0,,,,
34,0.0,1.0,736.0,736.0,13.0,736.0,1.0,,,0.0,,,,,,,,,,,,,,,,6.727548283829467,3.506985965126692,12.2478977001032,1.0,,,,
35,0.0,1.0,767.0,767.0,31.0,767.0,1.0,,,0.0,,,,,,,,,,,,,,,,14.50978579285601,7.678722971873674,26.769663034560228,1.0,,,,
36,0.0,1.0,778.0,778.0,11.0,778.0,1.0,,,0.0,,,,,,,,,,,,,,,,5.804428832844801,2.993399215062785,10.466174574128354,1.0,,,,
37,0.0,1.0,800.0,800.0,22.0,800.0,1.0,,,0.0,,,,,,,,,,,,,,,,10.733765292570688,5.689469070729128,19.836941046095394,1.0,,,,
38,0.0,1.0,825.0,825.0,25.0,825.0,1.0,,,0.0,,,,,,,,,,,,,,,,12.017258322062117,6.373078819321137,22.21786406008531,1.0,,,,
39,0.0,1.0,845.0,845.0,20.0,845.0,1.0,,,0.0,,,,,,,,,,,,,,,,9.86393411062928,5.2218773942992875,18.209306240276906,1.0,,,,
40,0.0,1.0,867.0,867.0,22.0,867.0,1.0,,,0.0,,,,,,,,,,,,,,,,10.733765292570688,5.689469070729128,19.836941046095394,1.0,,,,
41,0.0,1.0,916.0,916.0,49.0,916.0,1.0,,,0.0,,,,,,,,,,,,,,,,21.429809619905427,11.144914577615037,38.88827604671345,1.0,,,,
42,0.0,1.0,930.0,930.0,14.0,930.0,1.0,,,0.0,,,,,,,,,,,,,,,,7.184539029491803,3.7597049262044866,13.125418723102165,1.0,,,,
43,0.0,1.0,952.0,952.0,22.0,952.0,1.0,,,0.0,,,,,,,,,,,,,,,,10.733765292570688,5.689469070729128,19.836941046095394,1.0,,,,
44,0.0,1.0,964.0,964.0,12.0,964.0,1.0,,,0.0,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,,,,
45,0.0,1.0,984.0,984.0,20.0,984.0,1.0,,,0.0,,,,,,,,,,,,,,,,9.86393411062928,5.2218773942992875,18.209306240276906,1.0,,,,
46,0.0,1.0,994.0,994.0,10.0,994.0,1.0,,,0.0,,,,,,,,,,,,,,,,5.338254258716446,2.7323939462696547,9.561792499119552,1.0,,,,
47,0.0,1.0,1011.0,1011.0,17.0,1011.0,1.0,,,0.0,,,,,,,,,,,,,,,,8.537506735345652,4.5021653169992994,15.705680661607307,1.0,,,,
48,0.0,1.0,1043.0,1043.0,32.0,1043.0,1.0,,,1.0,,,,,,,,,,,,,,,,14.915791436960964,7.888615688174705,27.50196640421462,1.0,,,,
49,29.0,0.0,1073.0,1073.0,30.0,1073.0,0.9970300000000012,30.0,30.0,0.0,,,,0.6298753352000795,0.21549728358394232,1.0239584445953371,0.3504943549633026,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,1.7947657,0.34574140000000003,2.5222254,1.1983536,14.101123218132534,7.466662882129582,26.029962661171947,1.0,,,,
50,58.0,0.0,1102.0,1102.0,29.0,1102.0,0.9941590000000023,29.0,29.0,0.0,,,,0.26618899032473564,0.059095071243447136,0.3708440661430359,0.14238035678863525,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.92804116,0.18671626,1.2622142,0.44674490000000006,13.689783926993243,7.252413693439139,25.282790566840355,1.0,,,,
