Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,L/Mean,L/Stdev,L/Max,L/Min,Advantage/Mean,Advantage/Stdev,Advantage/Max,Advantage/Min,Action/Mean,Action/Stdev,Action/Max,Action/Min,V/Mean,V/Stdev,V/Max,V/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min
1,0.0,1.0,15.0,1.0,15.0,15.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.814199776645628,2.8235000217819204,9.07441321041177,0.12679333819836214,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,34.0,2.0,19.0,34.0,0.0,,,0.0,,,,,,,,,,,,,,,,9.025015137605296,4.846698704715875,16.722034874788736,0.7303131954649285,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,46.0,3.0,12.0,46.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.593027234628188,2.964603800776864,10.304321656592007,0.8599701809506777,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,71.0,4.0,25.0,71.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.82852225200002,3.423968714645437,11.086182607801184,0.0063227053692522395,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,103.0,5.0,32.0,103.0,0.0,,,0.0,,,,,,,,,,,,,,,,15.411674105404725,7.553428703437254,26.82464751899328,1.1057116167680792,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,119.0,6.0,16.0,119.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.129185786167899,3.0770566350486543,8.79515484620401,-0.19986939457636774,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,147.0,7.0,28.0,147.0,0.0,,,0.0,,,,,,,,,,,,,,,,2.030481874390181,3.3095648560141586,9.861815499813012,-0.9169861669991809,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,204.0,8.0,57.0,204.0,0.0,,,0.0,,,,,,,,,,,,,,,,35.94155386453665,18.313663423557013,56.781451777257814,0.8334245595998659,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,219.0,9.0,15.0,219.0,0.0,,,0.0,,,,,,,,,,,,,,,,1.856247645629321,2.3225474816655134,6.476150751380545,-0.4053333947056514,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,230.0,10.0,11.0,230.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.6962322909063783,2.1564889172635113,7.523478265229183,0.547142655195206,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,255.0,11.0,25.0,255.0,0.0,,,0.0,,,,,,,,,,,,,,,,7.869881760816451,3.89902334860397,14.996012581179125,0.8241078274840928,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,288.0,12.0,33.0,288.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.993180492212162,5.902955678653187,16.875766660612918,-0.98254055030144,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,299.0,13.0,11.0,299.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.6274631653721183,2.3718039821494017,7.738503382466308,0.389194513252327,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,313.0,14.0,14.0,313.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.1920478708899123,2.2243777750819502,7.318353598889862,0.23908618042058896,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,328.0,15.0,15.0,328.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.466828086785647,3.3061110603875705,11.194453545503096,0.4974052888799727,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,371.0,16.0,43.0,371.0,0.0,,,0.0,,,,,,,,,,,,,,,,9.371537466083923,8.730238812317637,25.37775232492115,-0.06267820795931316,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,390.0,17.0,19.0,390.0,0.0,,,0.0,,,,,,,,,,,,,,,,8.147071729082526,4.060754593498434,14.924827018854687,0.9164282652835236,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,414.0,18.0,24.0,414.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.151021858871875,3.988089297732228,13.381943011061251,0.4317452548486876,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,429.0,19.0,15.0,429.0,0.0,,,0.0,,,,,,,,,,,,,,,,2.738469728162474,2.5759429591120684,7.838772680566971,-0.00940036336216944,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,446.0,20.0,17.0,446.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.574216775991708,3.107781639234212,10.938865215188754,0.7332821457426568,,,,,,,,,,,,,,,,,,,,,,,,
