Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Returns Mean/Mean,Returns Mean/Stdev,Returns Mean/Max,Returns Mean/Min,Returns Variance/Mean,Returns Variance/Stdev,Returns Variance/Max,Returns Variance/Min
1,0.0,1.0,4.0,1.0,4.0,4.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
2,0.0,1.0,3.0,1.0,3.0,7.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
3,0.0,1.0,3.0,1.0,3.0,10.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
4,0.0,1.0,7.0,1.0,7.0,17.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.19604960199429286,0.09655815980645327,0.33967326046505,0.05,,,,,,,,,,,,
5,0.0,1.0,6.0,1.0,6.0,23.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.17211232558249998,0.08286397799189531,0.292599252995,0.05,,,,,,,,,,,,
6,0.0,1.0,8.0,1.0,8.0,31.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.2198279677275562,0.11007233160822624,0.38627652786039945,0.05,,,,,,,,,,,,
7,0.0,1.0,3.0,1.0,3.0,34.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
8,0.0,1.0,3.0,1.0,3.0,37.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
9,0.0,1.0,4.0,1.0,4.0,41.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
10,0.0,1.0,6.0,1.0,6.0,47.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.17211232558249998,0.08286397799189531,0.292599252995,0.05,,,,,,,,,,,,
11,0.0,1.0,6.0,1.0,6.0,53.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.17211232558249998,0.08286397799189531,0.292599252995,0.05,,,,,,,,,,,,
12,0.0,1.0,3.0,1.0,3.0,56.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
13,0.0,1.0,3.0,1.0,3.0,59.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
14,0.0,1.0,4.0,1.0,4.0,63.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
15,0.0,1.0,4.0,1.0,4.0,67.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
16,0.0,1.0,5.0,1.0,5.0,72.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1480149401,0.06896102301892251,0.2450497505,0.05,,,,,,,,,,,,
17,0.0,1.0,10.0,1.0,10.0,82.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.2669127129358222,0.13661969731348275,0.4780896249559775,0.05,,,,,,,,,,,,
18,0.0,1.0,3.0,1.0,3.0,85.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
19,0.0,1.0,6.0,1.0,6.0,91.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.17211232558249998,0.08286397799189531,0.292599252995,0.05,,,,,,,,,,,,
20,0.0,1.0,4.0,1.0,4.0,95.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
21,0.0,1.0,5.0,1.0,5.0,100.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1480149401,0.06896102301892251,0.2450497505,0.05,,,,,,,,,,,,
22,0.0,1.0,3.0,1.0,3.0,103.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
23,0.0,1.0,15.0,1.0,15.0,118.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.3819257031625212,0.20048895872248507,0.6997082267935573,0.05,,,,,,,,,,,,
24,0.0,1.0,3.0,1.0,3.0,121.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
25,0.0,1.0,10.0,1.0,10.0,131.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.2669127129358222,0.13661969731348275,0.4780896249559775,0.05,,,,,,,,,,,,
