Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
1,0.0,1.0,13.0,1.0,13.0,13.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,32.0,1.0,32.0,45.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.07457895718480484,0.039443078440873545,0.13750983202107314,0.005,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,27.0,1.0,27.0,72.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.06429497630302354,0.0340862968900576,0.11882864282644813,0.005,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,20.0,1.0,20.0,92.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,18.0,1.0,18.0,110.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.04491284398774094,0.023722760004486008,0.0827431192749562,0.005,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,45.0,1.0,45.0,155.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.09980403467025832,0.052146814637499095,0.1819072569680644,0.005,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,35.0,1.0,35.0,190.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.08059031149939104,0.04252751095672352,0.14827615250021525,0.005,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,22.0,1.0,22.0,212.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.05366882646285343,0.02844734535364565,0.09918470523047698,0.005,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,36.0,1.0,36.0,248.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.08256817481816388,0.04353468290208385,0.1517933909752131,0.005,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,28.0,1.0,28.0,276.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.06637873987785067,0.035179766690898784,0.12264035639818364,0.005,,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,12.0,1.0,12.0,288.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03133759582903328,0.016257855673222694,0.056807564141935364,0.005,,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,17.0,1.0,17.0,305.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,12.0,1.0,12.0,317.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03133759582903328,0.016257855673222694,0.056807564141935364,0.005,,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,57.0,1.0,57.0,374.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.12128608644549467,0.0624489738253126,0.21804740477380607,0.005,,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,22.0,1.0,22.0,396.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.05366882646285343,0.02844734535364565,0.09918470523047698,0.005,,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,17.0,1.0,17.0,413.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,31.0,1.0,31.0,444.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.07254892896428006,0.03839361485936839,0.13384831517280116,0.005,,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,13.0,1.0,13.0,457.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,27.0,1.0,27.0,484.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.06429497630302354,0.0340862968900576,0.11882864282644813,0.005,,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,11.0,1.0,11.0,495.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.029022144164224006,0.014966996075313928,0.052330872870641774,0.005,,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,38.0,1.0,38.0,533.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.08648559086879386,0.045518179563016486,0.15872270249480636,0.005,,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,31.0,1.0,31.0,564.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.07254892896428006,0.03839361485936839,0.13384831517280116,0.005,,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,18.0,1.0,18.0,582.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.04491284398774094,0.023722760004486008,0.0827431192749562,0.005,,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,44.0,1.0,44.0,626.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.09793805234530817,0.051228969118242235,0.17869419895764074,0.005,,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,28.0,1.0,28.0,654.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.06637873987785067,0.035179766690898784,0.12264035639818364,0.005,,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,22.0,1.0,22.0,676.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.05366882646285343,0.02844734535364565,0.09918470523047698,0.005,,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,28.0,1.0,28.0,704.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.06637873987785067,0.035179766690898784,0.12264035639818364,0.005,,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,35.0,1.0,35.0,739.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.08059031149939104,0.04252751095672352,0.14827615250021525,0.005,,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,15.0,1.0,15.0,754.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,26.0,1.0,26.0,780.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.062197527590584126,0.032981544845425315,0.11497842709742236,0.005,,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,20.0,1.0,20.0,800.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,44.0,1.0,44.0,844.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.09793805234530817,0.051228969118242235,0.17869419895764074,0.005,,,,,,,,,,,,,,,,,,,,
33,0.0,1.0,15.0,1.0,15.0,859.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,,,,,,,,,,,,,,,,,,,,
34,0.0,1.0,23.0,1.0,23.0,882.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.055822045233084684,0.02959841778336178,0.10319285817817224,0.005,,,,,,,,,,,,,,,,,,,,
35,0.0,1.0,13.0,1.0,13.0,895.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,15.0,1.0,15.0,910.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,18.0,1.0,18.0,928.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.04491284398774094,0.023722760004486008,0.0827431192749562,0.005,,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,15.0,1.0,15.0,943.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,14.0,1.0,14.0,957.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,,,,,,,,,,,,,,,,,,,,
40,0.0,1.0,18.0,1.0,18.0,975.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.04491284398774094,0.023722760004486008,0.0827431192749562,0.005,,,,,,,,,,,,,,,,,,,,
41,0.0,1.0,45.0,1.0,45.0,1020.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.09980403467025832,0.052146814637499095,0.1819072569680644,0.005,,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,13.0,1.0,13.0,1033.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,,,,,,,,,,,,,,,,,,,,
43,11.0,0.0,61.0,1.0,61.0,1094.0,0.0,0.30500000000000016,61.0,0.0,,,,,,,,,,,,0.024275674,0.018458508000000002,0.054471374,0.005366865500000001,0.12808870918621745,0.0656063963637345,0.22915746201657305,0.005,0.6919808000000001,0.0018443427,0.69314694,0.6855124,0.01864321014491253,0.03195657180834381,0.10974575020592928,-0.0582787378929454,0.028775046000000002,0.038398582,0.13273084,-0.01975679,0.0006843959,0.00076540734,0.0025619417,6.359156e-05,0.012460588500000001,0.01935331,0.043544766,-0.027275632999999997
44,18.0,0.0,35.0,1.0,35.0,1129.0,0.0,0.17500000000000007,35.0,0.0,,,,,,,,,,,,0.017200092,0.015755272,0.051613227000000005,0.0054081664,0.08059031149939104,0.04252751095672352,0.14827615250021525,0.005,0.6907941,0.0029943396999999997,0.6931366,0.681203,0.01895436173388682,0.024848024593969727,0.09617831783934114,-0.013846473753172904,0.03439839,0.03639603,0.110718764,-0.002539865,0.00048834604,0.0008242918400000001,0.0023291553,6.434703e-05,0.012637863999999999,0.013547061,0.0418899,0.0012045528
45,22.0,0.0,20.0,1.0,20.0,1149.0,0.0,0.10000000000000002,20.0,0.0,,,,,,,,,,,,0.026954292999999997,0.015584462,0.04554865,0.0074101340000000005,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,0.68971145,0.004993610999999999,0.6931235,0.67520845,0.03557605597148202,0.023664348928148924,0.08357761960576743,0.004005997200372057,0.021245534,0.019359615,0.07017247,0.0051470688,0.0009128285499999999,0.0006935856,0.0017909509,9.526052e-05,0.024112538,0.012049445,0.037070394,0.008049552
