Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,27.0,27.0,27.0,27.0,14.0,,,0.0,,,,,,,,,,,,,,,,0.0017003139136349615,0.0020746708241896512,0.004871885059899999,0.0,,,,
2,0.0,1.0,54.0,54.0,27.0,54.0,3.0,,,0.0,,,,,,,,,,,,,,,,0.0009719282309620127,0.0008981860496467037,0.0019801000000000003,0.0,,,,
3,0.0,1.0,81.0,81.0,27.0,81.0,8.0,,,0.0,,,,,,,,,,,,,,,,0.004539719794348178,0.003224676067195287,0.009873005712652516,0.0,,,,
4,0.0,1.0,108.0,108.0,27.0,108.0,15.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
5,0.0,1.0,135.0,135.0,27.0,135.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0006351441744482665,0.0007286708552947933,0.00192274469442792,0.0,,,,
6,0.0,1.0,162.0,162.0,27.0,162.0,4.0,,,0.0,,,,,,,,,,,,,,,,0.008345719274317827,0.004196127193115918,0.013675710425838254,0.001,,,,
7,0.0,1.0,189.0,189.0,27.0,189.0,9.0,,,0.0,,,,,,,,,,,,,,,,0.0012154995343105028,0.0010995200284537746,0.0037089041674102674,0.0,,,,
8,0.0,1.0,216.0,216.0,27.0,216.0,5.0,,,0.0,,,,,,,,,,,,,,,,0.005122025308763684,0.0026094031821885244,0.009714195117811924,0.0,,,,
9,0.0,1.0,243.0,243.0,27.0,243.0,10.0,,,0.0,,,,,,,,,,,,,,,,0.004363606853785426,0.0034626419072066963,0.009276465248406734,0.0,,,,
10,0.0,1.0,270.0,270.0,27.0,270.0,3.0,,,0.0,,,,,,,,,,,,,,,,0.0070206745210608205,0.0022467398747163772,0.010206482706377352,0.001,,,,
11,0.0,1.0,297.0,297.0,27.0,297.0,4.0,,,0.0,,,,,,,,,,,,,,,,0.00265339572235115,0.0030949924042724393,0.0076589478046916295,0.0,,,,
12,0.0,1.0,324.0,324.0,27.0,324.0,4.0,,,0.0,,,,,,,,,,,,,,,,0.0016052149090438825,0.0021618314440076643,0.0057369862017359104,0.0,,,,
13,0.0,1.0,351.0,351.0,27.0,351.0,19.0,,,0.0,,,,,,,,,,,,,,,,0.0016816407481823725,0.0003429744754023523,0.0025716737353442013,0.000970299,,,,
14,0.0,1.0,378.0,378.0,27.0,378.0,11.0,,,0.0,,,,,,,,,,,,,,,,0.002883699696461245,0.0015835381654574663,0.00628424351712673,0.0,,,,
15,0.0,1.0,405.0,405.0,27.0,405.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.007752635993098305,0.0035237490160622813,0.011289516743435452,0.00099,,,,
16,0.0,1.0,432.0,432.0,27.0,432.0,13.0,,,0.0,,,,,,,,,,,,,,,,0.005130721845277075,0.0023685284345456013,0.009711823335126454,0.001,,,,
17,0.0,1.0,459.0,459.0,27.0,459.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.00440216505557684,0.0016465308573371186,0.005707876251635911,0.0,,,,
18,0.0,1.0,486.0,486.0,27.0,486.0,8.0,,,0.0,,,,,,,,,,,,,,,,0.0013663808250232792,0.002138696741537401,0.006698057754791631,0.0,,,,
19,0.0,1.0,513.0,513.0,27.0,513.0,5.0,,,0.0,,,,,,,,,,,,,,,,0.008629887369346938,0.00405877777552986,0.013593392822431856,0.00099,,,,
20,0.0,1.0,540.0,540.0,27.0,540.0,13.0,,,0.0,,,,,,,,,,,,,,,,0.00040226277814814815,0.0009764945439907,0.00393069601,0.0,,,,
21,0.0,1.0,567.0,567.0,27.0,567.0,2.0,,,0.0,,,,,,,,,,,,,,,,0.0003876360953380872,0.00046790490638919287,0.001,0.0,,,,
22,0.0,1.0,594.0,594.0,27.0,594.0,5.0,,,0.0,,,,,,,,,,,,,,,,0.001080178538179145,0.0017532771014465748,0.004852475159401,0.0,,,,
23,0.0,1.0,621.0,621.0,27.0,621.0,3.0,,,0.0,,,,,,,,,,,,,,,,0.0040067019832113505,0.0018880347298407406,0.005718438101312562,0.0,,,,
24,0.0,1.0,648.0,648.0,27.0,648.0,10.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
25,0.0,1.0,675.0,675.0,27.0,675.0,17.0,,,0.0,,,,,,,,,,,,,,,,0.0015725069423039107,0.001526723740457007,0.005631740530886812,0.0,,,,
26,0.0,1.0,702.0,702.0,27.0,702.0,17.0,,,0.0,,,,,,,,,,,,,,,,0.0014953382474709785,0.0019492171092843648,0.00565278653856852,0.0,,,,
27,0.0,1.0,729.0,729.0,27.0,729.0,13.0,,,0.0,,,,,,,,,,,,,,,,0.003230992888886635,0.003273532439790726,0.009219830222222836,0.0,,,,
28,0.0,1.0,756.0,756.0,27.0,756.0,17.0,,,0.0,,,,,,,,,,,,,,,,0.003304411506272937,0.0034382298154364685,0.008525650603977267,0.0,,,,
29,0.0,1.0,783.0,783.0,27.0,783.0,8.0,,,0.0,,,,,,,,,,,,,,,,0.00022074444444444442,0.0006794860543268648,0.0029701000000000003,0.0,,,,
30,0.0,1.0,810.0,810.0,27.0,810.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.0015536201073178392,0.001283835007972791,0.0029406960100000004,0.0,,,,
31,0.0,1.0,837.0,837.0,27.0,837.0,14.0,,,0.0,,,,,,,,,,,,,,,,3.703703703703704e-05,0.00018885257457751058,0.001,0.0,,,,
32,0.0,1.0,864.0,864.0,27.0,864.0,5.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
33,0.0,1.0,891.0,891.0,27.0,891.0,14.0,,,0.0,,,,,,,,,,,,,,,,0.003483027493850517,0.001384795054753791,0.004815962224409804,0.000970299,,,,
34,0.0,1.0,918.0,918.0,27.0,918.0,5.0,,,0.0,,,,,,,,,,,,,,,,0.003503254868098405,0.002919246316787508,0.00813547594506407,0.0,,,,
35,0.0,1.0,945.0,945.0,27.0,945.0,19.0,,,0.0,,,,,,,,,,,,,,,,0.00025668144444444444,0.000690822412552863,0.0029602990000000004,0.0,,,,
36,0.0,1.0,972.0,972.0,27.0,972.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0025397487658509635,0.002318446360705135,0.0063780483163840785,0.0,,,,
37,0.0,1.0,999.0,999.0,27.0,999.0,3.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
38,0.0,1.0,1026.0,1026.0,27.0,1026.0,17.0,,,0.0,,,,,,,,,,,,,,,,0.006879178299672628,0.0029363398392279762,0.013275375615240795,0.001,,,,
