Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
1,0.0,1.0,17.0,1.0,17.0,17.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.308118976053993,0.1804977410846476,0.6289415922178925,0.035539349813922136,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,23.0,1.0,23.0,40.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3222282060774779,0.2261903651114409,0.7446408389363566,0.02169713795029234,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,15.0,1.0,15.0,55.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2686041013675979,0.16454473186594454,0.5568900842914213,0.03096970203852309,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,17.0,1.0,17.0,72.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.1935051448304677,0.1635036270654444,0.4961665933493647,0.00029913310287136365,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,9.0,1.0,9.0,81.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.16120327006773671,0.09027813134306334,0.31553260178834197,0.03172165494690074,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,21.0,1.0,21.0,102.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2060418438177766,0.19404142162425644,0.5739394336586423,-0.018577992351055297,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,22.0,1.0,22.0,124.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.6918265767386766,0.3282755875834749,1.1508501056765066,0.07083035126733442,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,14.0,1.0,14.0,138.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.34761983509363314,0.18163593969513905,0.6413354293947375,0.0556560557872302,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,19.0,1.0,19.0,157.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.4858565923941266,0.2305923953394672,0.8469347827825878,0.06363741085707407,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,31.0,1.0,31.0,188.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.8336000936165109,0.4157555514376016,1.4643692714576009,0.056864312982210424,,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,13.0,1.0,13.0,201.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2466152481942254,0.1426403747427297,0.496643517425137,0.035527064899962615,,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,11.0,1.0,11.0,212.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.16535746688701966,0.09909208827873182,0.34573177734951843,0.024959601900825648,,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,33.0,1.0,33.0,245.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2735512107092465,0.2446920608383682,0.7807510160914163,-0.02015030990694834,,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,10.0,1.0,10.0,255.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.18109322682003726,0.1091687456600502,0.36098908187329387,0.022782517813088432,,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,25.0,1.0,25.0,280.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.7429851181631193,0.3894589877289609,1.3149846696384906,0.06307258674465142,,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,26.0,1.0,26.0,306.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2202002146719533,0.1605676061307644,0.5601352729189614,0.009597825662325029,,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,11.0,1.0,11.0,317.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2285933429219937,0.11435063083557348,0.41802870723006297,0.04030949439200293,,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,24.0,1.0,24.0,341.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.6923255331361146,0.3106725900352829,1.1459025154112998,0.06858287428358638,,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,11.0,1.0,11.0,352.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.1379595082069105,0.11407784486047555,0.3419607582377165,0.003225222926014557,,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,24.0,1.0,24.0,376.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.13343842458661462,0.1389717596728954,0.4625471129686732,-0.0013277482422162199,,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,15.0,1.0,15.0,391.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3108036519510524,0.1606408351316112,0.5817579649620598,0.044595222749827065,,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,41.0,1.0,41.0,432.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,1.0270313267886133,0.56603770649427,1.891682352981968,0.04430551485659917,,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,23.0,1.0,23.0,455.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.13526619580059873,0.15686128417849687,0.484594549098532,-0.00453788051558084,,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,24.0,1.0,24.0,479.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.1898441602459863,0.13703226019889805,0.507644463301135,0.0124956828154026,,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,50.0,1.0,50.0,529.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.5388710818333114,0.3085797159835041,1.1295646016123395,0.009166922775596822,,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,16.0,1.0,16.0,545.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.1441849112704237,0.15982007433988074,0.4469336109430728,-0.020322774072485932,,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,18.0,1.0,18.0,563.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.26566743859884423,0.17964201228243434,0.5934225969718682,0.0134105212147151,,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,21.0,1.0,21.0,584.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.416833778860916,0.26443187864471296,0.8441794700983041,0.017664048175887414,,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,19.0,1.0,19.0,603.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.306066930617836,0.18258846877613144,0.6484383490354493,0.03566956744951121,,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,23.0,1.0,23.0,626.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.4304516374897727,0.25450334513494344,0.8761409328341321,0.028920028458073482,,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,22.0,1.0,22.0,648.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2419650743554581,0.20548921256005165,0.6109295707211644,-0.014303329492587568,,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,13.0,1.0,13.0,661.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.32309210270482136,0.1673711812155523,0.5901607895661194,0.05161046892365767,,,,,,,,,,,,,,,,,,,,
33,0.0,1.0,14.0,1.0,14.0,675.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2572100048491817,0.15962670840812992,0.5315746385571825,0.026959375082184125,,,,,,,,,,,,,,,,,,,,
34,0.0,1.0,20.0,1.0,20.0,695.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.22920803051131666,0.15509935367938607,0.5303365405721056,0.01345530552507213,,,,,,,,,,,,,,,,,,,,
35,0.0,1.0,8.0,1.0,8.0,703.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.14880735773194875,0.0866484518807477,0.2900301554426171,0.027776054002050767,,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,18.0,1.0,18.0,721.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2300922695026381,0.17977876285731872,0.5660264657567488,0.01080425178789654,,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,14.0,1.0,14.0,735.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2869150677550377,0.1514491929288413,0.5484494559247094,0.044045826976711056,,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,11.0,1.0,11.0,746.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.21377072913363745,0.12757962321715302,0.425544826251548,0.029464019693999064,,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,48.0,1.0,48.0,794.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,1.617769251923774,0.8343964232863113,2.6888328301972035,0.05477766514289981,,,,,,,,,,,,,,,,,,,,
40,0.0,1.0,22.0,1.0,22.0,816.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.29595355396728795,0.21322752741783588,0.6862707934219381,0.007297905394716676,,,,,,,,,,,,,,,,,,,,
41,0.0,1.0,21.0,1.0,21.0,837.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.5977952308219523,0.3214638663089013,1.0789864143143244,0.05281462419485322,,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,16.0,1.0,16.0,853.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3137848602621484,0.1970471894631349,0.6439717895070147,0.020857377301282738,,,,,,,,,,,,,,,,,,,,
43,0.0,1.0,16.0,1.0,16.0,869.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3045534562581777,0.1709815305915675,0.6001891127645084,0.03880328380369427,,,,,,,,,,,,,,,,,,,,
44,0.0,1.0,16.0,1.0,16.0,885.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3483858853973343,0.19004435415067295,0.6656407751259776,0.047577535299199655,,,,,,,,,,,,,,,,,,,,
45,0.0,1.0,29.0,1.0,29.0,914.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.5217004590335566,0.3024651711959035,1.0472756776127945,0.03003468025630279,,,,,,,,,,,,,,,,,,,,
