Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,27.0,27.0,27.0,27.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.0028396192279842238,0.003461358866725632,0.01033666950347905,0.0,,,,
2,0.0,1.0,54.0,54.0,27.0,54.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.0013720624112080974,0.0015046349522591694,0.003740644016920365,0.0,,,,
3,0.0,1.0,81.0,81.0,27.0,81.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.001512250003260922,0.0024460404717678947,0.006793465209301,0.0,,,,
4,0.0,1.0,108.0,108.0,27.0,108.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.00029152203740740736,0.0006445030106152838,0.0019801000000000003,0.0,,,,
5,0.0,1.0,135.0,135.0,27.0,135.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.0008802121690848007,6.886120583850026e-05,0.001,0.0007700431458051553,,,,
6,0.0,1.0,162.0,162.0,27.0,162.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.006985673716456868,0.003965431964961387,0.013246331410663276,0.0,,,,
7,0.0,1.0,189.0,189.0,27.0,189.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.007375600044945095,0.0031170286824998,0.01052438770407457,0.00099,,,,
8,0.0,1.0,216.0,216.0,27.0,216.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.006814235961768072,0.002911535333055024,0.012282986151841029,0.00099,,,,
9,0.0,1.0,243.0,243.0,27.0,243.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.00025594440740740737,0.0006346987240315506,0.00199,0.0,,,,
10,0.0,1.0,270.0,270.0,27.0,270.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.004653259443510882,0.0038556979266576594,0.011072483791338609,0.0,,,,
11,0.0,1.0,297.0,297.0,27.0,297.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.0007047115991805238,0.0003798078914271793,0.001,0.0,,,,
12,0.0,1.0,324.0,324.0,27.0,324.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.00025594440740740737,0.0006346987240315506,0.00199,0.0,,,,
13,0.0,1.0,351.0,351.0,27.0,351.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.0032937509788494718,0.0017285092103517196,0.00718251235930368,0.0009509900499,,,,
